tracker,seq,week,code,total_sold,total_units,teduh_name,note,block_note
johor,,2026-07-10,9600-6,665,,,seeded from your report,"Latest sale - Block A: 483 units, Block B: 241 units"
johor,,2026-07-17,9600-6,676,,,seeded from your report,"Latest sale - Block A: 483 units, Block B: 241 units"
johor,,2026-07-24,9600-6,692,,,seeded from your report,"Latest sale - Block A: 483 units, Block B: 241 units"
johor,,2026-07-31,9600-6,714,,,seeded from your report,"Latest sale - Block A: 483 units, Block B: 241 units"
johor,,2026-08-07,9600-6,724,,,seeded from your report,"Latest sale - Block A: 483 units, Block B: 241 units"
johor,,2026-06-19,31031-1,1351,,,seeded from your report,"Latest sale - Block A: 723 units, Block B: 666 units"
johor,,2026-06-26,31031-1,1354,,,seeded from your report,"Latest sale - Block A: 723 units, Block B: 666 units"
johor,,2026-07-03,31031-1,1356,,,seeded from your report,"Latest sale - Block A: 723 units, Block B: 666 units"
johor,,2026-07-10,31031-1,1372,,,seeded from your report,"Latest sale - Block A: 723 units, Block B: 666 units"
johor,,2026-07-17,31031-1,1376,,,seeded from your report,"Latest sale - Block A: 723 units, Block B: 666 units"
johor,,2026-07-24,31031-1,1381,,,seeded from your report,"Latest sale - Block A: 723 units, Block B: 666 units"
johor,,2026-07-31,31031-1,1387,,,seeded from your report,"Latest sale - Block A: 723 units, Block B: 666 units"
johor,,2026-08-07,31031-1,1389,,,seeded from your report,"Latest sale - Block A: 723 units, Block B: 666 units"
johor,,2026-06-19,30828-3,873,,,seeded from your report,-
johor,,2026-06-26,30828-3,877,,,seeded from your report,-
johor,,2026-07-03,30828-3,881,,,seeded from your report,-
johor,,2026-07-10,30828-3,887,,,seeded from your report,-
johor,,2026-07-17,30828-3,888,,,seeded from your report,-
johor,,2026-07-24,30828-3,890,,,seeded from your report,-
johor,,2026-07-31,30828-3,898,,,seeded from your report,-
johor,,2026-08-07,30828-3,898,,,seeded from your report,-
